instance: pix.schiessle.eu, pixelfed: 0.12.5
instance: klunscher.social, mastodon: 4.5.6
instance: soc.quornichon.org, snac: 2.83
instance: shellbytes.me, mastodon: 4.4.3
instance: justjake.masto.host, mastodon: 4.5.6
instance: fedifeed.net, mastodon: 4.5.6
instance: social.lightlyseared.online, mastodon: 4.5.6
instance: awoo.chat, mastodon: 4.3.7
instance: pixelfed.midworld.de, pixelfed: 0.12.6
instance: msky.ntr.homes, misskey: 2025.6.3
instance: bullcity.space, mastodon: 4.4.3
instance: toot.legacycode.rocks, mastodon: 4.5.6
instance: toots.inbutts.lol, mastodon: 4.5.3
instance: fv.sitwell.dev, sharkey: 2025.4.4
instance: furnu.org, mastodon: 4.5.5
instance: misskey.bootjp.me, misskey: 2025.12.2
instance: networked-media.itp.io, mastodon: 4.3.14
instance: social.the-mansfields.co.uk, mastodon: 4.5.6
instance: pm.ernix.jp, mastodon: 4.5.2
instance: bunny.social, mastodon: 4.5.6
instance: esolis.social, mastodon: 4.3.7
instance: pixelfed.desmu.fr, pixelfed: 0.12.7
instance: mastodon.zip, mastodon: 4.5.3
instance: glitch.lgbt, mastodon: 4.5.3
instance: nocturne.reverie-world.net, misskey: 1.3.2-beta.4
instance: social.jumaru.net, mastodon: 4.5.6
instance: goark.fedicity.net, mastodon: 4.5.6
instance: social.firehawk-systems.com, pleroma: 2.4.1
instance: selbsthilfe.social, mastodon: 4.5.6
instance: masto.binaryworks.ca, mastodon: 4.4.1
instance: seacow.social, mastodon: 3.3.0
instance: spoonie.community, mastodon: 4.1.13
instance: prismst.one, firefish: 1.0.3
instance: mastodon.veen.world, mastodon: 4.5.3
instance: lifeof.ahabitual.dev, pixelfed: 0.12.7
instance: social.gamingecke.space, mastodon: 4.4.1
instance: embassy.social, mastodon: 4.5.6
instance: routingmagic.club, mastodon: 4.0.2
instance: f.iroiro.party, friendica: 2026.01-1586
instance: 10211104.fedicity.net, mastodon: 4.5.6
instance: dtg.social, mastodon: 4.5.6
instance: lightcrystal.fedicity.net, mastodon: 4.5.6
instance: wordnik.social, mastodon: 4.5.6
instance: tooting.ninja, mastodon: 4.5.6
instance: under-bank.blue, mastodon: 4.5.2
instance: masto.monero.space, mastodon: 4.5.6
instance: rocketsnail.masto.host, mastodon: 4.5.6
instance: saigyouji.cyou, mastodon: 4.5.6
instance: jiskey.dev, misskey: 2025.12.2
instance: ei.heloise.im, mastodon: 4.5.6
instance: cruisers.social, mastodon: 4.5.6
instance: calckey.lapineige.fr, calckey: 13.1.4.1
instance: social.sopuzzled.com, mastodon: 4.5.6
instance: misskey.mina.to, meisskey: 10.102.703-m544
instance: toot.boston, hometown: 4.2.17+hometown-1.1.2
instance: mastodon.hochschule-trier.de, mastodon: 4.2.29
instance: vim.town, mastodon: 4.5.6
instance: pleroma.popolon.org, snac: 2.90
instance: pixelfed.albertmin.com, pixelfed: 0.12.7
instance: mastodon.gsugambit.com, mastodon: 3.5.3
instance: mastodon.fo, mastodon: 4.5.6
instance: pictures.veen.world, pixelfed: 0.12.6
instance: stg.mstdn.plusminus.io, paon: 6.0.2
instance: toot.ebu.io, mastodon: 4.5.3
instance: g0o.net, mastodon: 4.5.6
instance: cbr.social, mastodon: 4.5.6
instance: socialserver.science, mastodon: 4.5.6
instance: mastodon.qamoe.cyou, mastodon: 4.2.7
instance: sunshinecoast.social, mastodon: 4.5.6
